ont_indx	ont_rx(dBm)	ont_tx(dBm)	vendor_pn
1/1/1/0/0	-23.66	2.28	-
1/1/1/0/1	-23.76	2.32	-
1/1/1/0/2	-24.81	2.29	-
1/1/1/0/3	-22.22	2.47	-
1/1/1/0/4	-23.66	2.28	-
1/1/1/0/5	-22.84	2.47	-
1/1/1/0/6	-23.10	3.10	-
1/1/1/0/7	-22.59	2.54	-
1/1/1/0/8	-24.56	2.28	-
1/1/1/0/9	-22.59	2.56	-
1/1/1/0/10	-25.08	2.92	-
1/1/1/1/0	-23.66	2.33	-
1/1/1/1/1	-21.87	2.99	-
1/1/1/1/2	-28.86	2.58	-
1/1/1/1/3	-21.67	2.55	-
1/1/1/1/4	-22.07	2.23	-
1/1/1/1/5	-22.00	2.42	-
1/1/1/1/6	-27.44	3.04	-
1/1/1/1/7	-23.18	2.26	-
1/1/1/1/8	-21.61	3.06	-
1/1/1/1/9	-20.81	4.04	-
1/1/1/1/10	-22.29	2.16	-
1/1/1/1/11	-23.66	2.78	-
1/1/1/1/12	-21.80	3.02	-
1/1/1/1/13	-31.54	2.99	-
1/1/1/1/14	-24.43	2.67	-
1/1/1/1/15	-23.28	2.66	-
1/1/1/1/16	-22.84	2.51	-
1/1/1/2/0	-24.20	2.51	-
1/1/1/2/1	-22.00	2.49	-
1/1/1/2/2	-23.37	2.52	-
1/1/1/2/3	-23.01	2.98	-
1/1/1/2/4	-23.10	2.87	-
1/1/1/3/0	-21.30	2.93	-
1/1/1/3/1	-22.44	2.48	-
1/1/1/3/2	-23.66	2.73	-
1/1/1/3/3	-21.67	2.49	-
1/1/1/3/4	-23.28	1.97	HW-BOB-0025
1/1/1/3/5	-25.53	2.78	-
1/1/1/3/6	-23.01	2.65	-
1/1/1/3/7	-21.80	1.90	HW-BOB-0025
1/1/1/3/8	-23.98	2.62	-
1/1/1/3/9	-21.67	2.38	-
1/1/1/3/10	-22.75	2.36	-
1/1/1/3/11	-21.67	2.14	HW-BOB-0025
1/1/1/3/12	-23.87	2.62	-
1/1/1/3/13	-22.92	2.36	-
1/1/1/3/14	-20.55	2.75	-
1/1/1/3/15	-23.66	2.58	-
1/1/1/4/0	-20.91	2.95	-
1/1/1/4/1	-22.14	2.75	-
1/1/1/4/2	-23.10	2.95	-
1/1/1/4/3	-21.74	2.43	-
1/1/1/4/4	-22.92	2.43	-
1/1/1/4/5	-22.84	1.92	HW-BOB-0012
1/1/1/4/6	-25.37	2.22	-
1/1/1/4/7	-21.67	2.95	-
1/1/1/4/8	-21.30	2.92	-
1/1/1/4/9	-22.52	2.73	-
1/1/1/4/10	-20.75	2.41	-
